内容,RPG,シミュレーション,シミュレーションRPG,テーブルゲーム,アクションゲーム,アドベンチャー,シューティング,アクションRPG,レースゲーム,ネットRPG,ネットSLG,素材集,育成,ボードゲーム,パズル,音楽ゲーム,サウンドノベル,体感ゲーム,教育,カードゲーム
スポーツ,◇,◎,◇,◇,◯,◇,△,✕,◯,◇,◇,◇,◯,◇,◎,✕,△,◎,◇,◇
冒険物,◯,◇,◇,◇,◯,◇,△,◯,◇,◎,◇,◇,◇,◇,△,✕,◇,◇,◇,◇
拳法,◇,△,◇,◎,◯,◎,◎,◇,✕,◇,✕,◎,◇,◇,△,◇,◎,◇,◇,◇
ﾌｧﾝﾀｼﾞｰ,☆,◇,◇,◯,◇,◯,◎,◯,✕,◯,◇,◇,◎,◇,◎,△,◇,✕,◇,◇
競馬,✕,☆,◇,◇,◯,◇,◎,◇,◯,◇,☆,◇,◇,△,◇,△,◇,◎,◇,◇
戦国,◇,◯,◇,◇,◯,◇,△,◇,◎,△,◯,◇,◇,◯,◇,✕,◇,◇,◇,◇
ダンジョン,◯,◇,◇,◯,◯,◇,◯,◇,◎,◯,◇,✕,△,◯,△,△,◇,✕,◇,◇
恋愛,△,☆,◇,◇,✕,◯,◇,△,✕,◇,◇,◎,◇,◇,△,◇,☆,◎,◇,◇
埋蔵金,◇,◯,◇,✕,◇,◇,✕,◇,✕,◇,✕,◎,◇,◇,△,◇,△,◇,◇,◇
お笑い,✕,◯,◇,◇,◎,◎,◇,◇,◇,◇,◇,☆,◯,◇,◇,◇,◇,◎,◇,◇
ホラー,◎,◇,◇,△,☆,◯,◇,◇,✕,◇,◇,◇,△,◇,△,✕,☆,◯,◇,◇
脳トレ,◇,◯,◇,◯,◇,◇,◇,✕,✕,✕,△,◇,☆,◇,◯,◇,◇,◎,◇,◇
電車,◎,☆,◇,◇,◎,◎,◇,◇,◎,◇,◇,◯,◇,◯,◇,◇,◇,◇,◇,◇
動物,◇,◯,◇,◇,◇,◇,△,◇,◇,△,△,◯,☆,◇,◇,◇,◎,◇,◇,◇
ロボット,◇,◇,◇,◇,◯,◇,☆,◇,◇,◇,◇,◯,◇,◇,△,◇,◇,◇,◇,◇
飛行機,✕,◯,◇,◇,◯,✕,◯,◇,◯,◇,◇,◇,△,✕,◇,◇,✕,◇,◇,◇
コンビニ,△,◯,◇,◇,△,◇,✕,◇,◇,◇,☆,◇,◯,◇,◇,◎,◇,◇,◇,◇
時代劇,◇,◯,◇,◇,☆,◇,◎,◇,✕,◯,◯,◇,◇,△,△,✕,◯,◇,◇,◇
古本屋,◇,☆,◇,◇,◇,◇,△,◇,△,◇,◯,◇,◇,◇,◇,△,◇,◎,◇,◇
漫画家,✕,☆,◇,◇,△,◇,✕,◇,△,◇,◇,◯,☆,◇,◇,✕,◇,◇,◇,◇
美術,◎,◇,◇,△,◇,◯,◇,✕,△,◇,◇,◇,◎,◇,◎,△,◇,△,◇,◇
映画,◇,☆,◇,◇,◇,◇,✕,◇,△,◇,◇,◯,◯,◇,◇,◯,☆,◇,◇,◇
ゲーム会社,◇,☆,◇,◇,◇,△,◇,◇,◎,◇,☆,◇,☆,◇,◇,△,◇,✕,◇,◇
エジプト,◯,◯,◇,△,◇,◯,◇,◇,◇,◇,◇,◯,◇,◇,◎,◇,◇,◇,◇,◇
街開発,◇,☆,◇,◇,△,◇,✕,◇,◇,△,◇,◇,☆,◇,✕,◇,◎,◇,◇,◇
ビル建築,◎,☆,◇,◇,△,✕,◇,◇,✕,◇,☆,◇,◇,△,◇,◇,◇,◎,◇,◇
裁判,◇,◯,◇,◇,◎,◇,◎,◇,✕,◇,◇,◯,◇,◇,◇,△,△,◇,◇,◇
中世欧州,◯,◇,◇,◯,◇,◯,◇,◯,◇,☆,◇,◇,◇,◯,◇,◇,◇,◇,◇,◇
妖怪,◇,◇,◇,△,◇,◇,◯,◇,◎,◇,◇,◯,◇,◇,△,◇,◇,◎,◇,◇
狩り,△,◯,◇,◇,◇,◇,◎,☆,◇,◯,◇,◇,◇,△,◇,△,◇,◇,◇,◇
高校,◇,◯,◇,◇,◯,◇,△,◇,✕,◇,◇,◇,◇,△,◇,◇,◯,◇,◇,◇
中学校,◇,◯,◇,◇,◯,◇,△,◇,✕,◇,◇,◇,◇,△,◇,◇,◯,◇,◇,◇
戦争,◇,◇,◇,◯,◇,✕,◯,◇,△,◇,◯,◇,◇,◇,△,◇,◯,◇,◇,◇
忍者,◇,◇,◇,◇,☆,◎,◯,◇,△,◇,◇,◯,◇,◇,✕,◇,◇,◇,◇,◇
美少女,◇,☆,◇,◇,◇,◯,△,◇,◎,◇,◇,◯,◯,◇,◇,◎,☆,◎,◇,◇
ぶ少女,☆,◇,◇,◇,☆,◇,△,◇,◎,◇,◇,✕,△,◇,◇,◇,△,◎,◇,◇
